Number,Type,Name,Registration Point,Filename
1,text,Parameters,"(0, 0)",
2,bitmap,Bg,"(38, 149)",
3,text,Player1,"(0, 0)",
4,text,Player2,"(0, 0)",
5,bitmap,Empty,"(0, 0)",
6,bitmap,Game,"(365, 273)",
7,text,,"(0, 0)",
8,text,,"(0, 0)",
9,bitmap,Bg,"(32, 9)",
10,bitmap,Destroy1,"(9, 9)",
11,bitmap,Destroy2,"(9, 9)",
12,bitmap,Destroy3,"(9, 9)",
13,bitmap,Destroy4,"(9, 9)",
14,bitmap,Destroy5,"(9, 9)",
15,bitmap,Destroy6,"(9, 9)",
16,bitmap,Destroy7,"(9, 9)",
17,bitmap,Destroy9,"(9, 5)",
18,bitmap,Destroy7,"(9, 9)",
19,bitmap,Destroy7,"(9, 9)",
20,text,T_Score,"(0, 0)",
21,text,T_data,"(0, 0)",
22,text,T_OverScreen,"(0, 0)",
23,text,T_OverScreen2,"(0, 0)",
24,text,T_InternetScoresNames,"(0, 0)",
25,text,T_NewGame,"(0, 0)",
26,text,T_Menu,"(0, 0)",
27,text,T_Pause,"(0, 0)",
28,text,T_Pause,"(0, 0)",
29,text,T_InternetScores,"(0, 0)",
30,text,PlayerName,"(0, 0)",
31,text,,"(0, 0)",
32,text,,"(0, 0)",
33,text,,"(0, 0)",
34,text,,"(0, 0)",
35,bitmap,B_more,"(11, 12)",
36,text,T_StartLevel,"(0, 0)",
37,bitmap,B_back,"(11, 11)",
38,text,T_StartLines,"(0, 0)",
39,text,,"(0, 0)",
40,text,,"(0, 0)",
41,text,T_InternetScoresNamesP,"(0, 0)",
42,text,T_InternetScoresP,"(0, 0)",
43,bitmap,B_Play,"(23, 22)",
44,bitmap,B_back2,"(10, 11)",
45,bitmap,alert,"(209, 61)",
46,bitmap,Block1,"(8, 8)",
47,bitmap,Block2,"(8, 8)",
48,bitmap,Block3,"(8, 8)",
49,bitmap,Block4,"(8, 8)",
50,bitmap,Block5,"(8, 8)",
51,bitmap,Block6,"(8, 8)",
52,bitmap,Block7,"(8, 8)",
53,bitmap,Block1_2,"(9, 9)",
54,bitmap,Block2_2,"(9, 9)",
55,bitmap,Block3_2,"(9, 9)",
56,bitmap,Block4_2,"(9, 9)",
57,bitmap,Block5_2,"(9, 9)",
58,bitmap,Block6_2,"(9, 9)",
59,bitmap,Block7_2,"(9, 9)",
60,bitmap,mouse0000,"(24, 22)",
61,bitmap,mouse0001,"(24, 22)",
62,bitmap,mouse0002,"(24, 22)",
63,bitmap,mouse0003,"(24, 22)",
64,bitmap,mouse0004,"(24, 22)",
65,bitmap,mouse0005,"(24, 22)",
66,bitmap,TetriGrounds_s,"(117, 22)",
67,bitmap,bell0039,"(35, 21)",
68,bitmap,bell0000,"(35, 21)",
69,bitmap,bell0001,"(35, 21)",
70,bitmap,bell0002,"(35, 21)",
71,bitmap,bell0003,"(35, 21)",
72,bitmap,bell0004,"(35, 21)",
73,bitmap,bell0005,"(35, 21)",
74,bitmap,bell0006,"(35, 21)",
75,bitmap,bell0007,"(35, 21)",
76,bitmap,bell0008,"(35, 21)",
77,bitmap,bell0009,"(35, 21)",
78,bitmap,bell0010,"(35, 21)",
79,bitmap,bell0011,"(35, 21)",
80,bitmap,bell0012,"(35, 21)",
81,bitmap,bell0013,"(35, 21)",
82,bitmap,bell0014,"(35, 21)",
83,bitmap,bell0015,"(35, 21)",
84,bitmap,bell0016,"(35, 21)",
85,bitmap,bell0017,"(35, 21)",
86,bitmap,bell0018,"(35, 21)",
87,bitmap,bell0019,"(35, 21)",
88,bitmap,bell0020,"(35, 21)",
89,bitmap,bell0021,"(35, 21)",
90,bitmap,bell0022,"(35, 21)",
91,bitmap,bell0023,"(35, 21)",
92,bitmap,bell0024,"(35, 21)",
93,bitmap,bell0025,"(35, 21)",
94,bitmap,bell0026,"(35, 21)",
95,bitmap,bell0027,"(35, 21)",
96,bitmap,bell0028,"(35, 21)",
97,bitmap,bell0029,"(35, 21)",
98,bitmap,bell0040,"(35, 21)",
99,bitmap,bell0030,"(35, 21)",
100,bitmap,bell0031,"(35, 21)",
101,bitmap,bell0032,"(35, 21)",
102,bitmap,bell0033,"(35, 21)",
103,bitmap,bell0034,"(35, 21)",
104,bitmap,bell0035,"(35, 21)",
105,bitmap,bell0036,"(35, 21)",
106,bitmap,bell0037,"(35, 21)",
107,bitmap,bell0038,"(35, 21)",
108,bitmap,bell0039,"(35, 21)",
